sample,product,replicate,experiment,insulin
Control_R1,Control,1,1,33.882
Control_R1,Control,1,2,40.65
Control_R1,Control,1,3,73.967
Control_R2,Control,2,1,44.441
Control_R2,Control,2,2,65.467
Control_R2,Control,2,3,80.851
A_R1,A,1,1,45.14
A_R1,A,1,2,55.175
A_R1,A,1,3,151.413
A_R2,A,2,1,53.37
A_R2,A,2,2,25.164
A_R2,A,2,3,153.678
B_R1,B,1,1,86.056
B_R1,B,1,2,38.438
B_R1,B,1,3,165.543
B_R2,B,2,1,82.95
B_R2,B,2,2,50.943
B_R2,B,2,3,174.33
