sample,product,replicate,formic,acetic,propionic,lactic,butyric,citric
Control_R1,Control,1,34660.87,2485.879,305.614,4585.646,398.641,640.505
Control_R2,Control,2,35620.77,2367.957,567.952,4379.197,584.875,659.495
A_R1,A,1,29186.73,3587.407,407.037,3509.921,1635.671,711.395
A_R2,A,2,29401.88,3189.795,633.849,2614.445,839.359,991.664
B_R1,B,1,22333.59,3562.859,2431.971,358.035,2383.543,672.428
B_R2,B,2,26137.49,3331.052,1889.117,371.603,2255.989,580.663
